"column","species","row","plot","year","month"
"c01","0","r01","MJ1C",2002,7
"c01","イワフジツボ","r02","MJ1C",2002,7
"c01","イワフジツボ","r03","MJ1C",2002,7
"c01","イワフジツボ","r04","MJ1C",2002,7
"c01","0","r05","MJ1C",2002,7
"c01","イワフジツボ","r06","MJ1C",2002,7
"c01","イワフジツボ","r07","MJ1C",2002,7
"c01","0","r08","MJ1C",2002,7
"c01","0","r09","MJ1C",2002,7
"c01","0","r10","MJ1C",2002,7
"c01","0","r11","MJ1C",2002,7
"c01","0","r12","MJ1C",2002,7
"c01","0","r13","MJ1C",2002,7
"c01","エゾカサネカンザシ","r14","MJ1C",2002,7
"c01","エゾカサネカンザシ","r15","MJ1C",2002,7
"c01","エゾカサネカンザシ","r16","MJ1C",2002,7
"c01","石灰藻","r17","MJ1C",2002,7
"c01","エゾカサネカンザシ","r18","MJ1C",2002,7
"c01","エゾカサネカンザシ","r19","MJ1C",2002,7
"c01","石灰藻","r20","MJ1C",2002,7
"c02","イワフジツボ","r01","MJ1C",2002,7
"c02","死イワフジツボ","r02","MJ1C",2002,7
"c02","0","r03","MJ1C",2002,7
"c02","0","r04","MJ1C",2002,7
"c02","死イワフジツボ","r05","MJ1C",2002,7
"c02","イワフジツボ","r06","MJ1C",2002,7
"c02","0","r07","MJ1C",2002,7
"c02","マガキ","r08","MJ1C",2002,7
"c02","0","r09","MJ1C",2002,7
"c02","マガキ","r10","MJ1C",2002,7
"c02","マガキ","r11","MJ1C",2002,7
"c02","0","r12","MJ1C",2002,7
"c02","0","r13","MJ1C",2002,7
"c02","エゾカサネカンザシ","r14","MJ1C",2002,7
"c02","エゾカサネカンザシ","r15","MJ1C",2002,7
"c02","エゾカサネカンザシ","r16","MJ1C",2002,7
"c02","0","r17","MJ1C",2002,7
"c02","エゾカサネカンザシ","r18","MJ1C",2002,7
"c02","0","r19","MJ1C",2002,7
"c02","石灰藻","r20","MJ1C",2002,7
"c03","0","r01","MJ1C",2002,7
"c03","イワフジツボ","r02","MJ1C",2002,7
"c03","0","r03","MJ1C",2002,7
"c03","0","r04","MJ1C",2002,7
"c03","0","r05","MJ1C",2002,7
"c03","イワフジツボ","r06","MJ1C",2002,7
"c03","0","r07","MJ1C",2002,7
"c03","0","r08","MJ1C",2002,7
"c03","ムラサキインコガイ","r09","MJ1C",2002,7
"c03","ムラサキインコガイ","r10","MJ1C",2002,7
"c03","ムラサキインコガイ","r11","MJ1C",2002,7
"c03","0","r12","MJ1C",2002,7
"c03","エゾカサネカンザシ","r13","MJ1C",2002,7
"c03","エゾカサネカンザシ","r14","MJ1C",2002,7
"c03","エゾカサネカンザシ","r15","MJ1C",2002,7
"c03","エゾカサネカンザシ","r16","MJ1C",2002,7
"c03","石灰藻","r17","MJ1C",2002,7
"c03","0","r18","MJ1C",2002,7
"c03","石灰藻","r19","MJ1C",2002,7
"c03","石灰藻","r20","MJ1C",2002,7
"c04","0","r01","MJ1C",2002,7
"c04","死イワフジツボ","r02","MJ1C",2002,7
"c04","0","r03","MJ1C",2002,7
"c04","イワフジツボ","r04","MJ1C",2002,7
"c04","0","r05","MJ1C",2002,7
"c04","0","r06","MJ1C",2002,7
"c04","石灰藻","r07","MJ1C",2002,7
"c04","0","r08","MJ1C",2002,7
"c04","ムラサキインコガイ","r09","MJ1C",2002,7
"c04","ムラサキインコガイ","r10","MJ1C",2002,7
"c04","ムラサキインコガイ","r11","MJ1C",2002,7
"c04","0","r12","MJ1C",2002,7
"c04","石灰藻","r13","MJ1C",2002,7
"c04","0","r14","MJ1C",2002,7
"c04","エゾカサネカンザシ","r15","MJ1C",2002,7
"c04","エゾカサネカンザシ","r16","MJ1C",2002,7
"c04","エゾカサネカンザシ","r17","MJ1C",2002,7
"c04","エゾカサネカンザシ","r18","MJ1C",2002,7
"c04","石灰藻","r19","MJ1C",2002,7
"c04","エゾカサネカンザシ","r20","MJ1C",2002,7
"c05","イワフジツボ","r01","MJ1C",2002,7
"c05","0","r02","MJ1C",2002,7
"c05","0","r03","MJ1C",2002,7
"c05","0","r04","MJ1C",2002,7
"c05","0","r05","MJ1C",2002,7
"c05","0","r06","MJ1C",2002,7
"c05","0","r07","MJ1C",2002,7
"c05","マガキ","r08","MJ1C",2002,7
"c05","マガキ","r09","MJ1C",2002,7
"c05","マガキ","r10","MJ1C",2002,7
"c05","ムラサキインコガイ","r11","MJ1C",2002,7
"c05","ムラサキイガイ","r12","MJ1C",2002,7
"c05","0","r13","MJ1C",2002,7
"c05","0","r14","MJ1C",2002,7
"c05","石灰藻","r15","MJ1C",2002,7
"c05","死カンザシゴカイ","r16","MJ1C",2002,7
"c05","エゾカサネカンザシ","r17","MJ1C",2002,7
"c05","エゾカサネカンザシ","r18","MJ1C",2002,7
"c05","エゾカサネカンザシ","r19","MJ1C",2002,7
"c05","0","r20","MJ1C",2002,7
"c06","0","r01","MJ1C",2002,7
"c06","0","r02","MJ1C",2002,7
"c06","イワフジツボ","r03","MJ1C",2002,7
"c06","0","r04","MJ1C",2002,7
"c06","ムラサキインコガイ","r05","MJ1C",2002,7
"c06","イワフジツボ","r06","MJ1C",2002,7
"c06","マガキ","r07","MJ1C",2002,7
"c06","0","r08","MJ1C",2002,7
"c06","ムラサキインコガイ","r09","MJ1C",2002,7
"c06","ムラサキインコガイ","r10","MJ1C",2002,7
"c06","ムラサキインコガイ","r11","MJ1C",2002,7
"c06","マガキ","r12","MJ1C",2002,7
"c06","マガキ","r13","MJ1C",2002,7
"c06","褐藻ヘバリspp","r14","MJ1C",2002,7
"c06","座マツモ","r15","MJ1C",2002,7
"c06","マガキ","r16","MJ1C",2002,7
"c06","エゾカサネカンザシ","r17","MJ1C",2002,7
"c06","石灰藻","r18","MJ1C",2002,7
"c06","エゾカサネカンザシ","r19","MJ1C",2002,7
"c06","エゾカサネカンザシ","r20","MJ1C",2002,7
"c07","イワフジツボ","r01","MJ1C",2002,7
"c07","イワフジツボ","r02","MJ1C",2002,7
"c07","0","r03","MJ1C",2002,7
"c07","イワフジツボ","r04","MJ1C",2002,7
"c07","イワフジツボ","r05","MJ1C",2002,7
"c07","0","r06","MJ1C",2002,7
"c07","マガキ","r07","MJ1C",2002,7
"c07","マガキ","r08","MJ1C",2002,7
"c07","マガキ","r09","MJ1C",2002,7
"c07","マガキ","r10","MJ1C",2002,7
"c07","ムラサキインコガイ","r11","MJ1C",2002,7
"c07","死マガキ","r12","MJ1C",2002,7
"c07","0","r13","MJ1C",2002,7
"c07","マガキ","r14","MJ1C",2002,7
"c07","褐藻ヘバリspp","r15","MJ1C",2002,7
"c07","エゾカサネカンザシ","r16","MJ1C",2002,7
"c07","エゾカサネカンザシ","r17","MJ1C",2002,7
"c07","エゾカサネカンザシ","r18","MJ1C",2002,7
"c07","エゾカサネカンザシ","r19","MJ1C",2002,7
"c07","エゾカサネカンザシ","r20","MJ1C",2002,7
"c08","0","r01","MJ1C",2002,7
